Status,Score,Time,Algorithm,CrossroadsCount
lose,2560,9.629183300000001,Minimax,96
win,2670,7.3708265,Minimax,89
win,2730,10.970440799999999,Minimax,90
lose,2640,5.228136299999996,Minimax,87
win,2670,12.909119600000004,Minimax,96
lose,2640,14.981265900000011,Minimax,97
win,2660,7.536462,Minimax,88
win,2660,10.630706199999992,Minimax,102
win,2650,16.968170299999997,Minimax,95
win,2620,7.147771499999976,Minimax,94
lose,1720,3.5963443999999924,Minimax,101
lose,1580,12.25473310000001,Minimax,96
win,2740,11.821571699999993,Minimax,99
win,2710,10.062653600000004,Minimax,102
lose,2490,6.878860099999997,Minimax,97
lose,2680,18.401006300000006,Minimax,89
lose,2340,4.6659062999999605,Minimax,96
lose,2690,18.05155080000003,Minimax,96
lose,2650,23.225598699999978,Minimax,98
win,2610,11.610155099999986,Minimax,88
