Status,Score,Time,Algorithm,CrossroadsCount
lose,2470,7.482157599999999,Minimax,96
lose,1640,7.9539235999999995,Minimax,107
lose,1890,9.2403671,Minimax,90
lose,1900,3.638210899999997,Minimax,100
lose,1550,5.330688099999996,Minimax,99
lose,1970,8.551153600000006,Minimax,99
lose,2000,7.797104900000008,Minimax,96
lose,2160,7.064624899999998,Minimax,100
lose,300,2.9071837000000045,Minimax,89
lose,1830,5.9620014999999995,Minimax,105
lose,1170,4.794357700000006,Minimax,96
lose,2150,6.397526099999993,Minimax,91
lose,1840,4.62339750000001,Minimax,101
lose,2280,7.202348200000017,Minimax,102
lose,2350,7.911845099999994,Minimax,94
lose,2290,5.424524500000018,Minimax,100
lose,910,5.640846699999997,Minimax,101
lose,2260,8.457227799999998,Minimax,94
lose,2120,5.354054899999994,Minimax,105
lose,1810,4.4050604999999905,Minimax,97
